Time,Title,Content
2022-12-30 10:29,12月29日起天津生态城医院预防接种门诊+核酸检测点调整通知,》》》天津生态城医院预防接种门诊+核酸检测点调整通知预防接种门诊搬迁生态城医院预防接种门诊已搬迁至医院和顺路入口处，望广大群众周知并相互转告。（预防接种门诊新址请见下图）接种时间周一至周五8:30-11:00 13:30-16:00法定节假日除外，如遇特殊情况会做调整。咨询电话022-60126120核酸检测点无需预约挂号自2023年1月1日起，生态城医院核酸检测点变更为区域常态化核酸检测点，前来进行检测人员无需再关注“天津医科大学中新生态城医院”微信公众号进行预约挂号缴费，相关流程请听从现场人员引导。开放时间9:00-13:00　　14:00-17:00
2022-12-29 09:24,2023年元旦天津哪里可以临时免费停车？,2023年元旦天津哪里可以临时免费停车?答：为方便市民出行及满足元旦假期(2022年12月31日至2023年1月2日)期间停车需求，在不影响交通安全和正常通行秩序的前提下，市民可以在各大超市、菜市场、临街商铺、旅游景点以及有条件的小区周边道路，临时单排顺行停放车辆。提醒：1、上述措施是在元旦期间采取的临时便民服务举措。2、广大市民需注意，便利停车不是“随便停车”。便利停车的前提是车辆停放不能阻碍其他车辆和行人正常通行或产生安全隐患。2023年元旦天津高速免费吗?答：不免费。依据《重大节假日免收小型客车通行费实施方案》，高速免费通行的时间范围为春节、清明节、劳动节、国庆节四个国家法定节假日，以及当年国务院办公厅文件确定的上述法定节假日连休日。元旦并不在免费之列，所以元旦走高速是要过路费的哦!相关推荐：↓↓2023年元旦天津限行限号吗?
2022-12-29 09:41,天津春节假期便利停车服务2023,☑春节假期：2023年1月21日至27日☑春节假期便利停车便民服务为保障节假日期间广大群众出行便利，2023年春节假期期间，市公安交管局联合市城市公用事业管理局推出便利停车的便民服务举措。临时免费停车地点：为方便市民出行及满足节假日停车需求，在不影响交通安全和正常通行秩序的前提下，市民可以在各大超市、菜市场、临街商铺、旅游景点以及有条件的小区周边道路，临时单排顺行停放车辆。温馨提示：1.上述措施是在元旦期间采取的临时便民服务举措。2.广大市民需注意，便利停车不是“随便停车”。便利停车的前提是车辆停放不能阻碍其他车辆和行人正常通行或产生安全隐患，严禁出现以下违法停放行为：①斜列、垂直于路边停放;②双排或多排停放;③占压盲道、人行横道，占用消防通道停放;④在影响公交场站、消防设施等公共(应急)设施正常使用的地点停放;⑤在道路交叉口范围内停放。☑2023年春节天津限行规定根据国务院发布的《关于批转交通运输部等部门重大节假日免收小型客车通行费实施方案的通知》(国发〔2012〕37号)，收费公路免费通行时间为春节、清明节、劳动节、国庆节四个国家法定节假日，以及当年国务院办公厅文件确定的上述法定节假日连休日。春节在免费之列。免费通行时段：免费时段从节假日第一天00:00开始，节假日最后一天24:00结束。普通公路以车辆通过收费站收费车道的时间为准，高速公路以车辆驶离出口收费车道的时间为准。免费通行车辆：7座以下(含7座)载客车辆，包括允许在普通收费公路行驶的摩托车。☑相关推荐：↓↓2023年春节天津高速免费吗？
2022-12-27 18:38,天津港保税区新冠疫情防控服务平台操作流程,》》》天津港保税区新冠疫情防控服务平台操作流程（图源：天津港保税区天津空港经济区）拓展阅读：12月7日，国务院联防联控机制发布进一步优化落实新冠肺炎疫情防控的十条措施，除养老院、福利院、医疗机构、托幼机构、中小学等特殊场所外，不要求提供核酸检测阴性证明，不查验健康码。面对全新的疫情防控形势，天津港保税区社会事业发展局与京东健康合作，推出在线医疗服务专区，针对区内居家防护和有就医需求的居民，提供线上问诊、同城购药、就医需求登记和健康科普等服务。当前，如何做好居民的健康管理工作仍是各地关注的焦点。在各类医疗服务形式中，互联网医疗备受关注。天津港保税区此次上线的新冠疫情防控服务平台，重点打造了线上问诊、同城购药、就医需求登记和健康科普等功能，居民只需要扫描专区二维码或关注“天津港保税区天津空港经济区”微信公众号点击“便民服务”中“抗疫问诊”栏目即可进入。其中在“新冠极速问诊”板块，京东健康会提供免费的全科室医疗咨询问诊服务，24小时在线、平均30秒接诊，极速响应大众防疫相关的寻医问药需求。在“同城购药”板块，依托京东健康的医药供应链服务体系，居民可在线下单各类药品、抗原试剂盒等产品，保障居民对于防疫用药的需求。
2022-12-29 09:04,2023年天津元旦春节假期停车最新安排,【元旦春节假期停车最新安排】为保障节假日期间广大群众出行便利，2023年元旦假期(2022年12月31日至2023年1月2日)以及春节假期(2023年1月21日至27日)期间，市公安交管局联合市城市公用事业管理局推出便利停车的便民服务举措。为方便市民出行及满足节假日停车需求，在不影响交通安全和正常通行秩序的前提下，市民可以在各大超市、菜市场、临街商铺、旅游景点以及有条件的小区周边道路，临时单排顺行停放车辆。上述措施是在元旦、春节期间采取的临时便民服务举措，广大市民需注意，便利停车不是“随便停车”。便利停车的前提是车辆停放不能阻碍其他车辆和行人正常通行或产生安全隐患，严禁出现以下违法停放行为：1.斜列、垂直于路边停放;2.双排或多排停放;3.占压盲道、人行横道，占用消防通道停放;4.在影响公交场站、消防设施等公共(应急)设施正常使用的地点停放;5.在道路交叉口范围内停放。公安交管部门将增派警力，加强对上述路段的巡查疏导，对影响道路通行的车辆及时进行清理，为市民创造良好的交通环境，也请广大市民理解与配合。【相关推荐】2023年天津元旦出津政策规定汇总2023春节进出天津防疫政策（最新消息）2023年元旦/春节火车票开售时间+防护指南
2022-12-28 13:32,2023年起天津放宽父母投靠在津子女的落户政策,》》》最新消息：从2023年起，天津放宽父母投靠在津子女的落户政策。此次调整全面取消了外地无子女的限制，放宽至在津有成年子女即可申报。外省市户籍公民，男性年满60周岁、女性年满 55周岁，或已办理退休手续，来津居住满6个月，其成年子女为天津市常住户口，且在津有合法产权住房的，准予在津落户。需要携带以下材料：1.书面申请；2.申请人的居民身份证（申请人男性不满60周岁、女性不满55周岁的，还须提供退休手续）；3.能够证明申请人与被投靠子女关系的证明材料（个人档案等）；4.申请人《天津市居住证》；5.落户地居民户口簿；6.房屋产权证明；7.房主、户主同意落户声明；8.能够证实房主与落户人亲属关系证明材料（能够系统查询的免予提交）。
2022-12-27 19:07,1月8日起国内恢复办理内地居民出国游等签注,》》》最新消息：12月27日，国家移民管理局发布《关于新型冠状病毒感染“乙类乙管”后优化移民管理政策措施的公告》。公告明确，自2023年1月8日起有序恢复受理审批中国公民因出国旅游、访友申请普通护照，恢复办理内地居民旅游、商务赴港签注。公告全文如下：关于新型冠状病毒感染“乙类乙管”后优化移民管理政策措施的公告为高效统筹疫情防控和经济社会发展，积极适应疫情防控新阶段新形势新要求，维护人民群众生命健康安全，保障促进中外人员交流交往，国家移民管理局自2023年1月8日起优化移民管理政策措施。现公告如下：一、有序恢复受理审批中国公民因出国旅游、访友申请普通护照，恢复办理内地居民旅游、商务赴港签注。二、恢复受理审批外国人申请普通签证延期、换发、补发，停留证件签发、换发、补发，居留证件签发、延期、换发、补发。申请人确有紧急需求的，可循加急程序办理。三、恢复口岸签证签发，恢复执行24/72/144小时过境免签政策，依法签发临时入境许可。四、恢复签发中华人民共和国出入境通行证，恢复签发边境地区出入境通行证。五、逐步恢复陆路口岸（通道）客运通关，有序恢复陆路口岸、边民通道旅客、边民出入境，边民通道按照有关规定恢复开通，依法实施出入境边防检查。六、恢复毗邻港澳口岸边检快捷通道，持内地居民往来港澳通行证、港澳居民来往内地通行证等符合条件的出入境人员可经边检快捷通道通关。七、逐步恢复水运口岸客运通关，允许符合条件的水运口岸恢复客运班轮旅客出入境，试点恢复国际邮轮旅客出入境，依法签发登轮、搭靠证件，对符合入境条件的外国籍船员依法签发临时入境许可。取消“不登陆、不登轮、不搭靠”管理措施。八、继续运行空港口岸重点货运航班“绿色通道”、陆路口岸和边境检查站重点物资车辆“快速通道”、水运口岸“边检登轮码”网上自助办理等便利措施。国家移民管理局2022年12月27日
2022-12-27 18:44,华夏银行天津分行2023年贺岁普通纪念币发行预约兑换公告,》》》华夏银行天津分行关于2023年贺岁普通纪念币发行预约兑换公告根据中国人民银行安排，我行承担2023年贺岁普通纪念币（以下简称“贺岁币”）在天津地区的预约发行工作，现就有关事项公告如下：一、预约兑换时间安排（一）预约安排我行于2022年12月27日22:30时至29日24时办理贺岁币的预约业务。公众可通过我行官方网站、手机银行、官方微信公众号等线上渠道进行预约登记。预约期内先到先得，额满为止。具体预约途径为：1．华夏银行官方网站（访问https://www.hxb.com.cn/index.shtml，选择“快捷服务”-“纪念币预约”菜单）2．华夏银行手机银行APP（首页-广告栏或首页“全部”-“投资理财”-“纪念币预约”菜单）3．华夏银行微信公众号（关注“华夏银行”，点击“乐生活”-“纪念币预约”菜单）具体网点信息和额度信息可登陆华夏银行官方网站查询。（二）预约核实期安排2023年1月3日至4日为预约核实期。预约期结束后，中国人民银行将对贺岁币全部预约登记记录进行核查。我行会根据中国人民银行核查结果为预约客户推送核查结果短信。预约核实期内，未通过中国人民银行核查的公众，可持预约登记使用的第二代居民身份证原件前往预约登记的我行网点办理撤销重复预约记录及保留兑换资格业务，逾期不予办理。公众如代他人办理撤销重复预约记录及保留兑换资格业务， 须提供代办人和被代办人的第二代居民身份证原件。（三）兑换期安排2023年1月5日至11日为贺岁币兑换期，预约成功的客户，请在本人约定的日期，持在预约系统中登记的有效第二代居民身份证原件，前往约定的我行网点办理预约兑换业务。兑换期结束停止兑换，预约作废。二、预约核查根据中国人民银行规定，从2020年贺岁普通纪念币发行时起，普通纪念币预约兑换采用核查机制，人民银行将对公众的跨行重复预约信息、预约后未兑换信息进行记录和核查，公众使用同一第二代居民身份证在两家及以上银行业金融机构预约的、存在约而不兑记录的，将无法通过核查。具体信息请查询中国人民银行公告〔2019〕第26号。三、注意事项（一）贺岁币预约、兑换的有效身份证件必须为第二代居民身份证原件。由于第二代居民身份证原件遗失、未成年人未办理第二代居民身份证等原因，无法出具第二代居民身份证原件的，可使用户口簿、临时居民身份证办理。（二）预约期内，贺岁币每人预约、兑换限额均为20枚。（三）公众如代他人兑换贺岁币，需持本人及被代办人预约登记的有效第二代居民身份证原件办理，且被代办人数不超过5人。（四）预约期内，预约记录修改（仅支持修改姓名）和预约记录取消时间为预约次日凌晨1点至预约期最后一日。（五）预约信息仅作为登记，您可于2023年1月2日24时起，通过原预约渠道查询预约结果。办理预约时请您录入正确的手机号码并保持手机通讯畅通，以便接收我行发送的预约结果短信通知。与预约有关的所有信息均以我行电脑系统记录为准；核查相关信息以中国人民银行系统记录为准。（六）核实期内，中国人民银行地市中心支行及以上分支机构为公众办理2020年以来的普通纪念币预约记录查询业务，公众如对预约记录存在异议，可在预约核实期内，持预约登记时使用的有效第二代居民身份证原件，至中国人民银行地市及以上分支机构查询，查询地址以人民银行分支机构公告为准。（七）请您在进入预约兑换网点时，与他人保持一米安全距离，并听从网点现场指挥。（八）我行负责贺岁币预约兑换的营业网点将在兑换期内全部对外办理兑换业务，请您及时关注预约兑换地区的公告信息。如需进行业务咨询或投诉，可拨打我行客户服务热线95577。（图源：华夏银行天津分行）
2022-12-27 18:49,2023贺岁纪念币预约热点问答解答（汇总）,》》》2023贺岁纪念币预约热点问答解答（汇总）Q1、普通贺岁币按什么价格兑换？答：2023年贺岁普通纪念币10元/枚，按面额等值兑换，与同面额人民币等值流通。1枚=10元人民币20枚=200元人民币Q2、只能在一家银行预约吗？答：是的，千万不要重复预约哦。存在重复预约记录的客户将无法通过中国人民银行的预约登记记录的核查，不可办理兑换。未通过核查的公众需在核实期内办理撤销重复预约记录及保留兑换资格。持预约登记使用的第二代居民身份证原件，可在我行的任何一家承担预约兑换工作的网点办理撤销重复记录及保留兑换资格业务。Q3、为什么显示还有额度却无法预约？答：这是因为当多人在同一时间约抢时，存在部分客户点击后页面跳转过程中额度已约完的情况，所以看到的可能是未更新的额度，请以预约时系统反馈的实际情况为准。Q4、办理兑换可使用哪些支付方式？答：兑换方式支持现金、工行储蓄卡或存折。建议您携带现金办理，更节约时间。
2022-12-29 10:18,天津医科大学总医院2023元旦门诊安排,》》》天津医科大学总医院2023元旦门诊安排2022年12月31日：正常应诊2023年1月1日：门诊停诊2023年1月2日：正常应诊元旦期间天津医科大学总医院急诊、发热门诊24小时开放，互联网医院照常接诊。（图源：天津医科大学总医院）拓展阅读：（图源：天津医科大学总医院）1号门：行人通道2号门：汽车出口+行人通道3号门：车辆进出口+行人通道5号门：120进口+行人通道6号门：职工汽车进口+行人通道7号门：行人通道8号门：行人通道10 号门：汽车进口11 号门：行人通道12 号门：会议通道16 号门：车辆进出口及行人通道
